Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1430	-14171.03	-14609.63	438.6015	82.09672	7.244226
1440	-14105.27	-14582.05	476.7759	90.6909	6.797386
1450	-14121.05	-14567.76	446.713	86.70349	7.144918
1460	-14197.8	-14624.83	427.0326	87.4886	7.367733
1470	-14090.03	-14574.59	484.5663	94.88192	6.700923
1480	-14125.56	-14596.84	471.2818	94.3727	6.843629
1490	-14164.79	-14601.34	436.5564	79.50174	7.262854
1500	-14099.2	-14566.18	466.9854	87.5609	6.911038
1510	-14108.11	-14568.67	460.5606	90.64531	6.976358
1520	-14151.88	-14585.75	433.8739	81.80098	7.301626
1530	-14115.37	-14579.65	464.276	92.53144	6.927693
1540	-14109.89	-14581.1	471.2165	83.38771	6.853674
1550	-14098.38	-14583.96	485.5803	90.37548	6.700524
1560	-14099.29	-14578.63	479.3428	94.27449	6.758625
1570	-14126.58	-14592.6	466.0257	84.01207	6.918001
1580	-14143.76	-14611.23	467.4752	93.16486	6.890221
1590	-14153.67	-14613.28	459.6163	84.39691	6.995008
1600	-14126.49	-14598.54	472.0544	87.68158	6.853162
1610	-14098.55	-14560.45	461.9029	78.94484	6.939315
1620	-14049.75	-14529.86	480.1097	91.88574	6.758288
1630	-14143.14	-14585.99	442.8441	81.02472	7.189943
1640	-14051.8	-14535.03	483.2308	89.35561	6.726959
1650	-14090.61	-14570.6	479.993	87.68115	6.762622
1660	-14101.79	-14564.11	462.324	87.31735	6.964511
1670	-14057.05	-14540.51	483.4636	93.34755	6.718057
1680	-14132.21	-14590.64	458.4337	85.37757	7.009975
1690	-14098.15	-14566.57	468.4239	90.4559	6.890142
1700	-14127.95	-14576.49	448.5434	84.26603	7.126187
1710	-14080.75	-14549.2	468.4586	83.92082	6.888735
1720	-14127.12	-14573.44	446.3224	81.68894	7.14914
1730	-14076.61	-14558.97	482.3668	84.19413	6.724436
1740	-14046.87	-14519.57	472.6989	90.56822	6.842628
1750	-14045.68	-14530.33	484.6518	90.01887	6.710988
1760	-14023	-14500.96	477.9607	92.82576	6.778846
1770	-14055.56	-14525.21	469.65	90.58018	6.876261
1780	-14051.45	-14518.43	466.9746	87.28525	6.911258
1790	-14071.28	-14506.88	435.5972	80.65656	7.278572
1800	-14036.15	-14509.63	473.4801	88.22795	6.836907
1810	-14034.45	-14499.63	465.1741	90.11268	6.927097
1820	-14037.69	-14504.27	466.5756	90.26168	6.911135
1830	-14081.16	-14543	461.8447	86.54995	6.97044
1840	-14056.27	-14530.46	474.1896	84.74351	6.823547
1850	-14054.56	-14527	472.4434	96.39392	6.819966
1860	-14052.9	-14514.59	461.6944	81.29641	6.958863
1870	-14049.11	-14509.05	459.9419	89.27236	6.987831
1880	-14078.33	-14558.07	479.7438	84.66561	6.757684
1890	-14046.11	-14535.21	489.1019	84.93899	6.648609
1900	-14076.93	-14557.28	480.3492	83.00232	6.74185
1910	-14068.5	-14520.53	452.0274	84.05607	7.084666
1920	-14068.67	-14535.06	466.3861	90.32133	6.913064
1930	-14063.7	-14528.33	464.6311	91.42943	6.928605
1940	-14034.52	-14508.48	473.9552	90.89023	6.828026
1950	-14051.6	-14531.88	480.2791	88.70015	6.760045
1960	-14056.04	-14526.78	470.7403	88.61724	6.867665
1970	-14030.3	-14517.02	486.7188	91.56433	6.686844
1980	-14052.2	-14545.59	493.3864	91.80544	6.613861
1990	-14045.39	-14522.22	476.8256	90.21709	6.797643
2000	-14014.16	-14513.92	499.7518	94.9496	6.54072
2010	-14043.58	-14527.67	484.0914	91.64149	6.715406
2020	-14030.84	-14540.7	509.8663	93.01115	6.435185
2030	-14069.82	-14533.04	463.2204	88.44322	6.952839
2040	-14051.31	-14517.31	465.9992	88.6749	6.921076
2050	-14066.39	-14533.37	466.9767	90.81375	6.905051
2060	-14021.16	-14512.9	491.7454	90.25268	6.632278
2070	-14063.34	-14535.46	472.1216	89.8236	6.850545
2080	-14040.87	-14521.76	480.8856	90.61585	6.752172
2090	-14068.43	-14539.08	470.6493	84.01763	6.862987
2100	-14050.24	-14524.55	474.31	91.33125	6.82301
2110	-14050.06	-14510.44	460.3717	83.94242	6.985147
2120	-14041.73	-14499.95	458.215	83.71479	7.010368
2130	-14058.31	-14515.48	457.1649	86.94648	7.024105
2140	-14050.51	-14513.44	462.9297	77.4171	6.910691
2150	-14063.78	-14548.11	484.3279	92.95858	6.709902
2160	-14069.62	-14514.54	444.9181	81.21534	7.164971
2170	-14049.52	-14503.46	453.9327	85.20737	7.062704
2180	-14077.32	-14516.53	439.2131	78.69029	7.225348
2190	-14065.27	-14539.4	474.1279	95.54104	6.807422
