Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
208	0	-14135.23	-14573.27	438.0351	79.78754	7.245429
209	1	-14134.33	-14587.46	453.1282	83.77206	7.071215
210	0	-14092.97	-14552.2	459.2303	90.4175	6.991925
211	1	-14116.66	-14578.83	462.1755	86.23264	6.966623
212	0	-14127.17	-14562.82	435.6493	88.13552	7.26616
213	1	-14107.96	-14566.5	458.5379	95.97647	6.967394
214	0	-14117.89	-14580.55	462.6672	82.95677	6.954713
215	1	-14145.22	-14600.6	455.3777	90.3687	7.034743
216	0	-14152.28	-14586.43	434.153	78.66515	7.289532
217	1	-14112.38	-14581.24	468.8575	90.87395	6.884161
218	0	-14170.29	-14616.11	445.8229	85.39561	7.157658
219	1	-14104.57	-14577.53	472.9568	84.25522	6.836428
220	0	-14115.12	-14582.82	467.6962	83.60363	6.896711
221	1	-14127.76	-14584.2	456.441	83.65243	7.031436
222	0	-14099.98	-14568.54	468.5624	86.13985	6.892462
223	1	-14144.66	-14613.52	468.8527	85.83594	6.888703
224	0	-14161.77	-14586.79	425.0266	79.54503	7.407977
225	1	-14125.6	-14600.12	474.523	94.11951	6.810472
226	0	-14114.14	-14584.57	470.4315	89.60129	6.869781
227	1	-14108.7	-14584.14	475.4316	87.97618	6.814756
228	0	-14096.14	-14559.31	463.1688	89.65824	6.950682
229	1	-14114.47	-14593.41	478.9418	88.08901	6.77493
230	0	-14138.57	-14567.42	428.8578	81.7235	7.362939
231	1	-14160.31	-14609.48	449.1703	82.99026	7.117468
232	0	-14177.79	-14593.22	415.4297	74.15699	7.504703
233	1	-14112.8	-14581.26	468.4643	89.80563	6.891302
234	0	-14108.09	-14564.48	456.3872	84.2428	7.033072
235	1	-14101.6	-14600.83	499.2321	90.32245	6.549408
236	0	-14157.32	-14569.99	412.6628	81.16027	7.562221
237	1	-14094.1	-14563.28	469.1772	86.57966	6.885742
238	0	-14162.99	-14567.47	404.4821	75.24981	7.658632
239	1	-14138.53	-14594.64	456.1138	83.7387	7.035513
240	0	-14144.98	-14602.81	457.8324	78.0645	6.98305
241	1	-14143.73	-14615.36	471.6254	87.83309	6.858047
242	0	-14083.8	-14547.25	463.4486	83.13774	6.945964
243	1	-14174.49	-14624.12	449.6317	82.80542	7.111563
244	0	-14136.11	-14593.2	457.0895	84.28892	7.024801
245	1	-14127.67	-14581.61	453.9377	87.70643	7.059725
246	0	-14112.9	-14563.31	450.4073	78.84224	7.084201
247	1	-14160.68	-14593.32	432.6405	88.84751	7.296249
248	0	-14160.32	-14607.79	447.4653	83.52703	7.138633
249	1	-14107.03	-14579.02	471.9938	91.57247	6.847634
250	0	-14138.95	-14566.55	427.6059	83.03258	7.377249
251	1	-14152.02	-14601.88	449.8549	83.04579	7.109318
252	0	-14127.02	-14563.63	436.6123	83.56665	7.26854
253	1	-14137.24	-14584.95	447.7117	85.05853	7.135827
254	0	-14167.4	-14602.59	435.1995	82.38458	7.285809
255	1	-14093.35	-14586.35	493.0043	94.20022	6.613906
256	0	-14123.47	-14572.72	449.2511	80.23836	7.10728
257	1	-14111.28	-14594.37	483.0949	94.21439	6.719048
258	0	-14088.91	-14558	469.0935	90.38976	6.882913
259	1	-14121.12	-14594.05	472.9265	88.63438	6.842984
260	0	-14119.44	-14560.32	440.8753	85.63963	7.21509
261	1	-14101.98	-14579.28	477.2967	84.95619	6.787654
262	0	-14143.98	-14578.54	434.5544	83.10668	7.293528
263	1	-14109.21	-14570.86	461.652	84.16494	6.970409
264	0	-14136.81	-14570.76	433.941	84.52962	7.298961
265	1	-14111.12	-14586.99	475.8681	87.41599	6.809483
266	0	-14106.56	-14575.41	468.8535	85.79632	6.888636
267	1	-14109.29	-14587.38	478.0932	87.25095	6.783832
268	0	-14108.95	-14568.56	459.6113	81.13619	6.983622
269	1	-14162.16	-14610.21	448.0493	80.55497	7.123739
270	0	-14118.02	-14560.77	442.7521	81.39328	7.192124
271	1	-14144.67	-14603.95	459.2721	86.11393	7.000316
272	0	-14149.88	-14568.13	418.246	84.99725	7.482534
273	1	-14173.87	-14609.67	435.8069	89.16939	7.258784
274	0	-14105.97	-14549.27	443.3002	91.60947	7.160734
275	1	-14118.06	-14569.79	451.7263	78.39382	7.064005
276	0	-14092.05	-14543.12	451.0686	85.5885	7.096104
277	1	-14176.61	-14637.7	461.0919	87.29267	6.978647
278	0	-14089.73	-14539.09	449.3661	85.15056	7.116331
279	1	-14137.67	-14581.69	444.0124	83.13419	7.179744
280	0	-14106.9	-14553.6	446.702	86.17236	7.146178
281	1	-14152.76	-14619.57	466.8119	88.10805	6.912611
282	0	-14100.01	-14543.11	443.0984	82.3311	7.189849
283	1	-14114.2	-14576.32	462.1192	87.90464	6.966179
284	0	-14169.75	-14588.86	419.1088	82.8204	7.480134
285	1	-14105.16	-14581.82	476.6549	87.29032	6.800359
286	0	-14186.92	-14603.88	416.9633	83.64904	7.503374
287	1	-14171.03	-14609.63	438.6015	82.09672	7.244226
288	0	-14099.6	-14555.15	455.5533	84.3614	7.043111
289	1	-14105.27	-14582.05	476.7759	90.6909	6.797386
290	0	-14088.08	-14536.52	448.4357	82.60898	7.125629
291	1	-14121.05	-14567.76	446.713	86.70349	7.144918
292	0	-14108.23	-14562.21	453.9765	85.28764	7.062189
