Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
141	1	-6136.329	-6200.589	64.26004	1.129918	35.25539	0.162123	0.512598	1.01858	2.30669	6.169944
142	0	-6189.7	-6205.125	15.42514	1.658446	26.0385	0.248794	0.612968	1.05851	2.07972	7.751439
143	1	-6110.481	-6177.443	66.96213	0.9710648	35.48222	0.131145	0.467878	0.995035	2.40594	6.092653
144	0	-6200.417	-6212.057	11.63947	1.587725	24.24856	0.238561	0.602536	1.05518	2.10372	7.851292
145	1	-6148.005	-6198.381	50.37663	1.482457	32.65935	0.2226	0.58561	1.04937	2.14242	6.588487
146	0	-6195.145	-6199.181	4.036611	2.449483	26.93102	0.341614	0.695633	1.07803	1.88472	8.184864
147	1	-6205.758	-6213.007	7.248906	1.680878	27.88181	0.251961	0.616134	1.05949	2.07242	8.056243
148	0	-6178.19	-6197.226	19.03554	1.554241	28.50588	0.233581	0.597343	1.05345	2.11562	7.632072
149	1	-6199.769	-6186.96	-12.80956	1.380491	23.46592	0.206256	0.567375	1.04256	2.18381	8.855529
150	0	-6177.411	-6210.45	33.03874	1.789661	28.61158	0.266805	0.630605	1.06371	2.03888	7.142044
151	1	-6192.935	-6198.042	5.106376	1.503779	26.64462	0.225906	0.589184	1.05064	2.13427	8.146965
152	0	-6186.208	-6200.7	14.49229	1.289378	29.78788	0.190878	0.54928	1.03522	2.22462	7.770942
153	1	-6162.408	-6193.389	30.981	1.173032	31.51621	0.170132	0.523227	1.02365	2.28299	7.202553
154	0	-6183.087	-6181.424	-1.662972	1.572165	22.18667	0.236258	0.600144	1.05439	2.10921	8.321925
155	1	-6147.636	-6194.636	47.00075	1.377786	30.13304	0.205811	0.566864	1.04236	2.18497	6.684536
156	0	-6192.486	-6185.403	-7.082857	1.449717	23.69744	0.217449	0.579967	1.04733	2.15526	8.61613
157	1	-6134.264	-6189.049	54.78502	0.8547943	31.30148	0.107154	0.428293	0.971053	2.4935	6.445027
158	0	-6213.404	-6209.946	-3.457503	1.514882	24.2568	0.227612	0.591015	1.05128	2.13009	8.474006
159	1	-6169.099	-6195.055	25.95622	1.560155	28.99111	0.234467	0.598272	1.05377	2.11349	7.389772
160	0	-6196.488	-6196.263	-0.2246188	1.416012	26.91891	0.212052	0.573952	1.04508	2.16891	8.343275
161	1	-6177.602	-6191.959	14.35709	1.228342	27.69146	0.180151	0.536063	1.0295	2.25429	7.802126
162	0	-6173.016	-6201.636	28.62023	1.13806	30.06326	0.163649	0.51465	1.01958	2.30212	7.295022
163	1	-6160.123	-6164.689	4.565504	1.921779	26.46108	0.283755	0.646429	1.0679	2.00191	8.168094
164	0	-6191.511	-6219.576	28.06458	1.311658	31.26067	0.194708	0.553878	1.03714	2.21428	7.299325
165	1	-6157.563	-6193.938	36.37536	1.099878	30.15817	0.15644	0.504843	1.01476	2.32396	7.037175
166	0	-6176.536	-6198.396	21.86053	1.560139	28.87919	0.234465	0.59827	1.05377	2.1135	7.531675
167	1	-6179.634	-6201.16	21.52582	1.192009	25.8266	0.173602	0.527728	1.02573	2.27294	7.511172
168	0	-6181.822	-6200.888	19.06601	1.584635	26.89419	0.238106	0.602063	1.05503	2.1048	7.626368
169	1	-6154.484	-6189.059	34.57529	1.24578	29.79231	0.183251	0.539936	1.03121	2.2456	7.096749
170	0	-6211.935	-6217.066	5.130982	1.444492	26.27221	0.216619	0.579049	1.04699	2.15734	8.147016
171	1	-6197.042	-6222.913	25.87136	1.440994	26.13603	0.216062	0.578431	1.04676	2.15875	7.353407
