Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
71	1	-1007.352	-1040.929	33.57716	2680.711	23.21366	0.975557	0.993623	1.00616	1.02466	3.543741
72	0	-1006.723	-1034.814	28.0907	80359.43	24.13829	0.99552	0.998851	1.00114	1.00449	3.784585
73	1	-984.5084	-1025.425	40.91619	364.8955	28.84484	0.934264	0.98223	1.0162	1.0673	3.288816
74	0	-1007.46	-1036.937	29.47658	71348.32	23.23778	0.995245	0.998781	1.00121	1.00476	3.720651
75	1	-961.5249	-1010.767	49.24176	387.6422	29.50146	0.936198	0.982781	1.01574	1.06528	3.002964
76	0	-989.531	-1040.05	50.51941	11276.68	29.01334	0.988056	0.996917	1.00303	1.012	2.957035
77	1	-997.7291	-1028.02	30.2909	2791.374	24.0215	0.976045	0.993753	1.00604	1.02416	3.692779
78	0	-996.7246	-1034.034	37.30944	85235.69	28.82381	0.99565	0.998885	1.00111	1.00436	3.414038
79	1	-980.7698	-1024.31	43.54032	3464.171	34.38655	0.978487	0.994402	1.00543	1.02168	3.145972
80	0	-982.8211	-1037.251	54.42952	25916.68	35.81579	0.992115	0.997972	1.00201	1.00791	2.818708
81	1	-1004.444	-1035.14	30.69523	3527.003	22.92765	0.978679	0.994453	1.00539	1.02148	3.663689
82	0	-989.8752	-1026.533	36.6576	69113.55	28.77854	0.995169	0.998761	1.00123	1.00484	3.437076
83	1	-994.4179	-1028.294	33.87565	95393.56	24.17713	0.995888	0.998946	1.00105	1.00412	3.54536
84	0	-987.1359	-1027.624	40.48826	42721.73	29.70986	0.993857	0.998423	1.00156	1.00616	3.298112
85	1	-988.926	-1029.23	40.30383	96208.77	28.36754	0.995905	0.99895	1.00104	1.0041	3.312049
86	0	-997.6404	-1038.043	40.4023	21677.62	32.10467	0.99138	0.997782	1.00219	1.00865	3.274076
87	1	-979.9368	-1021.741	41.80422	21151.27	32.69595	0.991274	0.997754	1.00222	1.00875	3.222514
88	0	-988.3673	-1037.513	49.14525	51042.03	30.52128	0.994379	0.998557	1.00143	1.00563	3.00711
89	1	-980.3132	-1025.452	45.13931	9974.213	27.86917	0.987301	0.996721	1.00322	1.01276	3.139656
90	0	-983.7825	-1025.029	41.24676	53630.06	26.40547	0.994517	0.998593	1.0014	1.00549	3.27401
