Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
800	-1001.366	-1038.114	36.74769	97230.42	23.70994	0.995927	0.998956	1.00104	1.00408	3.418199
810	-974.793	-1025.732	50.93854	40765.45	31.76381	0.993711	0.998385	1.0016	1.0063	2.947055
820	-986.964	-1031.264	44.30021	41626.07	29.281	0.993777	0.998402	1.00158	1.00624	3.170994
830	-976.0085	-1024.041	48.03259	52124.88	29.0066	0.994438	0.998572	1.00142	1.00557	3.042724
840	-996.6911	-1041.431	44.74036	26811.04	36.577	0.992248	0.998007	1.00197	1.00777	3.076555
850	-985.0379	-1029.338	44.29979	59721.93	27.84497	0.994803	0.998667	1.00132	1.00521	3.169683
860	-968.4096	-1012.946	44.53664	7225.466	26.67651	0.985086	0.996141	1.00378	1.01499	3.152521
870	-985.3692	-1019.199	33.82996	9619.381	24.31154	0.98707	0.99666	1.00328	1.01299	3.548653
880	-998.5697	-1033.209	34.63888	16801.13	23.50074	0.990211	0.997478	1.00249	1.00982	3.503561
890	-986.795	-1034.603	47.80789	6015.41	30.38409	0.983659	0.995767	1.00414	1.01644	3.051224
900	-982.5526	-1034.548	51.99574	99100.33	33.34903	0.995965	0.998966	1.00103	1.00404	2.907415
910	-986.5064	-1022.745	36.23908	5497.342	31.45078	0.982909	0.995569	1.00433	1.0172	3.415212
920	-973.8699	-1019.902	46.03246	77735.84	27.10397	0.995445	0.998832	1.00116	1.00456	3.101352
930	-989.0304	-1027.415	38.38468	85393.02	29.67519	0.995654	0.998886	1.00111	1.00435	3.369269
940	-988.5622	-1029.445	40.88302	21367.73	24.80174	0.991318	0.997766	1.00221	1.00871	3.268258
950	-997.6938	-1048.261	50.56751	28069.55	31.97796	0.992423	0.998052	1.00193	1.0076	2.957964
960	-997.3013	-1039.418	42.11656	46249.38	28.3017	0.994096	0.998484	1.0015	1.00592	3.248205
970	-988.1149	-1035.399	47.28423	95972.26	28.48134	0.9959	0.998949	1.00105	1.00411	3.066565
980	-995.6991	-1040.478	44.7789	2695.341	26.36889	0.975624	0.993641	1.00615	1.02459	3.139778
990	-981.5527	-1025.47	43.91691	48988.3	33.66542	0.994263	0.998527	1.00146	1.00575	3.145392
1000	-992.879	-1030.932	38.05321	92930.31	24.0431	0.995833	0.998932	1.00106	1.00417	3.370058
1010	-983.8833	-1028.06	44.17707	66243.35	27.58864	0.995066	0.998734	1.00126	1.00494	3.172922
1020	-991.8488	-1042.236	50.38732	57734.51	29.98462	0.994715	0.998644	1.00135	1.0053	2.9657
1030	-978.5167	-1027.33	48.81294	66902.1	32.20371	0.99509	0.998741	1.00125	1.00492	3.011499
1040	-989.8744	-1031.026	41.15205	87534.08	24.74834	0.995707	0.998899	1.00109	1.0043	3.256423
1050	-975.2562	-1018.285	43.02911	86396.58	29.11763	0.995679	0.998892	1.0011	1.00433	3.214923
1060	-975.2806	-1036.417	61.13647	32813.51	34.3858	0.992992	0.998199	1.00178	1.00703	2.634257
1070	-984.5479	-1032.252	47.70379	70917.01	34.49612	0.995231	0.998777	1.00122	1.00478	3.023596
1080	-988.7556	-1036.931	48.17551	64841.55	30.68869	0.995013	0.998721	1.00127	1.005	3.038504
1090	-986.4301	-1042.494	56.06428	20495.69	31.21384	0.991135	0.997718	1.00225	1.00889	2.784013
1100	-990.0233	-1033.82	43.79681	30426.71	34.52004	0.992722	0.998129	1.00185	1.0073	3.136491
1110	-994.2743	-1034.745	40.47112	11791.62	27.39338	0.988319	0.996986	1.00297	1.01173	3.3071
1120	-992.5941	-1038.617	46.02261	36186.05	29.8379	0.993326	0.998285	1.0017	1.00669	3.111601
1130	-995.6036	-1028.236	32.63278	38577.1	21.20554	0.993536	0.99834	1.00165	1.00648	3.528927
1140	-983.045	-1027.475	44.43016	3663.327	31.79905	0.979078	0.994558	1.00529	1.02108	3.151622
1150	-1010.007	-1036.347	26.33983	14371.88	29.13486	0.989417	0.997272	1.00269	1.01062	3.787701
1160	-999.3092	-1032.027	32.71808	79238.3	28.38739	0.995488	0.998843	1.00115	1.00452	3.579206
1170	-997.6263	-1040.046	42.42012	54142.16	27.29713	0.994543	0.998599	1.00139	1.00547	3.235559
1180	-992.1183	-1022.048	29.92939	81942.49	26.86757	0.995563	0.998862	1.00113	1.00444	3.698122
1190	-980.7003	-1018.845	38.14508	27066.46	25.7332	0.992284	0.998016	1.00196	1.00774	3.388088
1200	-1004.804	-1040.729	35.9258	75545.16	25.8315	0.995379	0.998815	1.00118	1.00463	3.474665
1210	-982.4346	-1030.597	48.16254	28438.69	29.26387	0.992473	0.998065	1.00192	1.00755	3.039045
1220	-993.3242	-1039.339	46.0147	43239.74	30.3642	0.993894	0.998432	1.00155	1.00612	3.110318
1230	-997.1157	-1035.861	38.74539	9338.8	36.46513	0.986877	0.99661	1.00333	1.01318	3.242862
1240	-986.7575	-1020.074	33.31658	36986.07	25.79489	0.993398	0.998304	1.00168	1.00662	3.575699
1250	-993.4185	-1023.88	30.46197	46777.11	28.41709	0.994129	0.998493	1.00149	1.00588	3.658218
1260	-971.1494	-1020.524	49.37446	91501.3	27.52614	0.995801	0.998924	1.00107	1.00421	2.983772
1270	-982.2376	-1032.027	49.78964	15177.78	32.2856	0.989701	0.997346	1.00262	1.01034	2.980732
1280	-1001.82	-1040.776	38.9562	9874.053	29.63768	0.987237	0.996704	1.00324	1.01282	3.350363
1290	-975.235	-1023.661	48.42641	55253.21	32.15622	0.994598	0.998614	1.00138	1.00541	3.023811
1300	-1003.579	-1045.607	42.0282	2385.269	28.88527	0.974095	0.993233	1.00653	1.02614	3.250139
1310	-984.4149	-1031.543	47.12779	24002.25	28.08869	0.991807	0.997893	1.00208	1.00822	3.069858
1320	-971.4397	-1026.354	54.91401	90837.64	33.80683	0.995786	0.99892	1.00107	1.00422	2.818133
1330	-997.5677	-1029.66	32.09274	85145.26	25.94653	0.995647	0.998884	1.00111	1.00436	3.622714
1340	-983.7069	-1026.12	42.41264	94372.48	34.96991	0.995865	0.99894	1.00105	1.00414	3.169065
1350	-986.2067	-1031.572	45.36526	99593.76	28.28557	0.995975	0.998968	1.00103	1.00403	3.133363
1360	-988.8319	-1032.299	43.46753	3442.796	31.41889	0.97842	0.994384	1.00545	1.02175	3.185683
1370	-992.444	-1037.124	44.67978	75910.7	27.13826	0.99539	0.998818	1.00117	1.00462	3.151543
1380	-984.8879	-1035.831	50.94358	69495.57	32.73042	0.995182	0.998764	1.00123	1.00483	2.942801
1390	-989.7506	-1034.031	44.28043	76241.74	25.383	0.9954	0.99882	1.00117	1.00461	3.143518
1400	-989.191	-1033.779	44.58783	64420.71	27.08812	0.994996	0.998716	1.00127	1.00501	3.15452
1410	-995.3473	-1026.645	31.29776	25069.31	24.82044	0.991983	0.997938	1.00204	1.00804	3.654775
1420	-978.0624	-1029.242	51.17945	10892.36	27.70194	0.987847	0.996863	1.00308	1.01221	2.920702
1430	-1001.112	-1041.039	39.92729	60846.25	29.34117	0.994852	0.998679	1.00131	1.00516	3.319905
1440	-975.0819	-1024.36	49.27787	63061.35	31.87128	0.994943	0.998703	1.00129	1.00507	2.998828
1450	-978.3709	-1026.992	48.6208	23973.16	29.92373	0.991802	0.997891	1.00208	1.00822	3.024586
1460	-986.4068	-1032.371	45.96442	55934.78	31.23288	0.994631	0.998622	1.00137	1.00538	3.107461
1470	-985.7014	-1040.844	55.14283	88261.49	29.90993	0.995725	0.998904	1.00109	1.00428	2.806522
1480	-989.2579	-1031.865	42.60719	73995.94	32.62385	0.995331	0.998803	1.00119	1.00468	3.198902
1490	-985.086	-1034.659	49.57338	92284.89	28.05978	0.995819	0.998928	1.00107	1.00419	2.982511
1500	-995.2988	-1029.145	33.84589	14350.21	26.39119	0.989409	0.99727	1.00269	1.01063	3.554331
1510	-994.373	-1028.311	33.93846	67335.46	28.14903	0.995106	0.998745	1.00125	1.0049	3.538797
1520	-981.989	-1023.152	41.16339	50315.94	31.75062	0.994339	0.998547	1.00144	1.00567	3.254966
1530	-998.8252	-1036.74	37.91472	99653.95	28.43751	0.995976	0.998969	1.00103	1.00403	3.395824
1540	-982.6059	-1032.308	49.70209	27901.49	30.51184	0.992401	0.998046	1.00193	1.00762	2.988869
1550	-980.3579	-1033.519	53.16106	21223.25	28.1466	0.991288	0.997758	1.00222	1.00874	2.855877
1560	-975.1878	-1029.295	54.10727	9069.665	36.01648	0.986685	0.996559	1.00338	1.01338	2.825884
1570	-974.5676	-1022.533	47.96519	21479.46	32.36763	0.99134	0.997771	1.0022	1.00869	3.036642
