Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
134	0	-6260.739	-6301.668	40.92822	29.1515	7.270802
135	1	-6289.044	-6315.159	26.11519	27.32313	7.793699
136	0	-6282.355	-6308.832	26.47659	26.79271	7.778224
137	1	-6302.747	-6326.722	23.97571	30.94067	7.808306
138	0	-6312.96	-6330.252	17.29206	25.51353	8.118296
139	1	-6305.245	-6338.973	33.72847	29.19026	7.5175
140	0	-6278.08	-6306.309	28.22932	28.46987	7.713715
141	1	-6333.254	-6349.858	16.6043	30.88797	8.048533
142	0	-6308.976	-6340.954	31.97804	29.79565	7.57032
143	1	-6306.231	-6330.252	24.02097	23.24754	7.76347
144	0	-6283.919	-6311.606	27.68669	26.61217	7.731238
145	1	-6317.863	-6348.229	30.36591	26.88601	7.634194
146	0	-6288.062	-6319.431	31.36897	27.80304	7.603905
147	1	-6307.668	-6330.657	22.98901	27.06238	7.908639
148	0	-6282.687	-6322.639	39.95113	30.32993	7.298891
149	1	-6300.574	-6310.62	10.04614	28.97777	8.336134
150	0	-6306.106	-6312.007	5.901517	22.11601	8.496097
151	1	-6322.289	-6340.8	18.51157	26.11726	8.075426
152	0	-6313.574	-6336.638	23.06397	25.81839	7.897271
153	1	-6312.903	-6329.352	16.4487	26.37731	8.154306
154	0	-6311.707	-6326.223	14.51675	25.72255	8.228063
155	1	-6298.614	-6330.791	32.17734	28.20368	7.57548
156	0	-6297.105	-6317.51	20.4046	28.44522	7.988984
157	1	-6319.352	-6343.298	23.94604	26.69531	7.87225
158	0	-6285.058	-6308.226	23.16759	30.97307	7.83342
159	1	-6311.906	-6330.415	18.509	26.90084	8.075128
160	0	-6292.922	-6320.663	27.74072	29.75887	7.713222
161	1	-6288.265	-6317.512	29.24677	29.46114	7.667327
162	0	-6287.533	-6304.975	17.44144	26.28997	8.116671
163	1	-6284.846	-6307.004	22.15811	24.83781	7.912015
164	0	-6296.08	-6313.124	17.04388	26.96993	8.129082
165	1	-6309.33	-6325.476	16.14597	25.21903	8.160059
166	0	-6299.787	-6310.874	11.08714	31.17215	8.214667
167	1	-6307.173	-6317.77	10.59727	27.82834	8.35039
168	0	-6310.622	-6336.827	26.205	24.63269	7.741549
169	1	-6297.793	-6327.39	29.59643	27.30776	7.666204
170	0	-6303.116	-6321.417	18.30121	24.70447	8.064202
171	1	-6300.602	-6322.941	22.33932	25.7242	7.923974
172	0	-6276.953	-6300.618	23.66447	28.13858	7.878018
173	1	-6318.664	-6327.611	8.947383	28.43651	8.392039
174	0	-6317.332	-6336.8	19.46772	29.84347	7.988835
175	1	-6311.197	-6336.306	25.10925	29.89046	7.798749
176	0	-6281.331	-6319.263	37.93144	31.14556	7.353952
177	1	-6291.588	-6315.316	23.72764	29.14623	7.860942
178	0	-6305.346	-6323.069	17.72323	26.71689	8.10527
179	1	-6298.848	-6329.55	30.70197	29.89486	7.61157
180	0	-6294.118	-6314.846	20.72763	29.0761	7.965418
181	1	-6287.615	-6313.088	25.47324	27.7291	7.816301
182	0	-6293.198	-6321.062	27.86403	28.0648	7.729129
183	1	-6286.959	-6320.32	33.3612	27.02225	7.524815
184	0	-6292.179	-6316.902	24.72307	27.76371	7.843167
185	1	-6310.598	-6332.086	21.48795	27.47461	7.962114
