Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
1730	-6297.469	-6312.288	14.81889	26.97565	8.211519
1740	-6287.996	-6309.072	21.07576	26.41336	7.979049
1750	-6291.835	-6304.454	12.61955	23.52868	8.264778
1760	-6285.639	-6311.536	25.89666	27.47809	7.801645
1770	-6282.717	-6316.931	34.21419	26.01565	7.471349
1780	-6264.967	-6304.196	39.22927	29.30091	7.3289
1790	-6279.481	-6304.507	25.02667	27.65461	7.83274
1800	-6275.429	-6312.087	36.65844	31.79865	7.381762
1810	-6289.359	-6319.508	30.14883	28.75217	7.644409
1820	-6285.078	-6299.858	14.77987	29.01257	8.171793
1830	-6271.824	-6302.749	30.92522	27.64633	7.619416
1840	-6310.012	-6329.24	19.22791	26.83135	8.048655
1850	-6294.786	-6318.654	23.8682	24.52294	7.832503
1860	-6305.897	-6331.482	25.58499	26.01119	7.802971
1870	-6263.804	-6289.021	25.21737	27.73307	7.82551
1880	-6277.213	-6301.592	24.3796	27.91278	7.854531
1890	-6284.749	-6315.177	30.42847	28.09819	7.637707
1900	-6287.955	-6329.187	41.23255	27.51163	7.244168
1910	-6279.524	-6305.791	26.26666	28.68359	7.780276
1920	-6312.913	-6329.81	16.89699	25.47528	8.133396
1930	-6292.554	-6315.476	22.92199	27.7092	7.908456
1940	-6302.147	-6330.1	27.95285	28.31591	7.724569
1950	-6303.641	-6325.514	21.87312	28.11495	7.941978
1960	-6275.058	-6305.745	30.68734	28.4508	7.627466
1970	-6323.306	-6326.797	3.490915	27.60066	8.613209
1980	-6261.855	-6288.677	26.82229	27.28812	7.767752
1990	-6283.204	-6305.682	22.47786	26.59379	7.926896
2000	-6274.994	-6303.941	28.94676	27.97264	7.690794
2010	-6298.133	-6318.588	20.45511	26.01807	8.000247
2020	-6294.127	-6317.468	23.34144	25.34791	7.877725
2030	-6282.856	-6300.854	17.99766	26.57021	8.095415
2040	-6304.119	-6319.143	15.02432	26.57503	8.207289
2050	-6289.328	-6303.242	13.91404	28.68352	8.210929
2060	-6285.603	-6302.278	16.67496	25.78076	8.144521
2070	-6259.084	-6302.101	43.01699	28.28406	7.192176
2080	-6287.865	-6308.299	20.43456	27.83443	7.99682
2090	-6300.893	-6321.912	21.01829	25.79005	7.976163
2100	-6287.077	-6303.749	16.67115	26.89165	8.143516
2110	-6291.585	-6314.234	22.64837	27.02528	7.921258
2120	-6290.137	-6316.561	26.42409	28.76977	7.773735
2130	-6273.48	-6302.388	28.90868	29.63065	7.676134
2140	-6286.905	-6309.3	22.39522	33.58188	7.759717
2150	-6304.058	-6323.026	18.96835	28.99283	8.027886
2160	-6289.808	-6322.314	32.50538	27.50846	7.561362
