Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
2420	-1048.744	-1079.956	31.21219	20.13464	4.119958
2430	-1024.088	-1061.167	37.07937	24.66356	3.886737
2440	-1036.526	-1071.673	35.14709	22.76956	3.971149
2450	-1036.741	-1068.272	31.53113	22.49777	4.130491
2460	-1039.918	-1074.248	34.32999	26.38552	3.972336
2470	-1015.645	-1057.18	41.53562	22.17365	3.679121
2480	-1041.856	-1077.839	35.98268	24.21045	3.934229
2490	-1049.48	-1085.137	35.65748	26.77112	3.91522
2500	-1039.159	-1075.11	35.95056	23.58722	3.937578
2510	-1061.774	-1074.099	12.32422	14.90001	4.945233
2520	-1029.701	-1067.733	38.03148	24.53621	3.848678
2530	-1035.67	-1067.455	31.78489	22.94354	4.118243
2540	-1033.479	-1065.891	32.41273	22.59396	4.091352
2550	-1027.566	-1057.692	30.12644	25.33754	4.155654
2560	-1035.996	-1059.409	23.41301	20.26553	4.507921
2570	-1049.478	-1078.539	29.06069	20.84576	4.237308
2580	-1036.903	-1063.933	27.03093	18.82942	4.296209
2590	-1038.573	-1071.485	32.91117	23.72652	4.065461
2600	-1054.229	-1081.957	27.72762	21.96882	4.302839
2610	-1049.397	-1083.256	33.85921	21.3992	4.017084
2620	-1030.593	-1069.296	38.703	22.19582	3.807233
2630	-1025.4	-1060.963	35.56348	22.54208	3.951564
2640	-1038.282	-1069.33	31.04808	22.64836	4.151597
2650	-1033.259	-1068.858	35.59831	25.24471	3.940814
2660	-1051.342	-1075.495	24.15308	23.82358	4.432327
2670	-1038.455	-1066.764	28.3088	22.58649	4.273049
2680	-1034.705	-1063.735	29.02949	23.49828	4.232179
2690	-1030.865	-1067.93	37.06456	25.61492	3.878855
2700	-1038.196	-1075.778	37.5826	28.11359	3.819056
2710	-1052.969	-1076.464	23.49462	20.02073	4.502528
2720	-1045.224	-1074.793	29.5683	24.24588	4.198594
2730	-1019.321	-1068.381	49.05963	28.56751	3.40783
2740	-1033.36	-1073.743	40.38275	24.63331	3.752821
2750	-1016.771	-1057.008	40.23624	26.00195	3.752109
2760	-1026.194	-1062.981	36.78694	22.22552	3.893924
2770	-1027.95	-1061.715	33.7654	19.36811	3.964715
2780	-1042.779	-1070.083	27.30437	21.27312	4.323261
2790	-1034.018	-1071.342	37.32342	25.57378	3.869198
2800	-1053.801	-1071.667	17.86624	19.91943	4.784298
2810	-1048.254	-1071.743	23.48824	21.45948	4.501235
2820	-1062.202	-1083.82	21.61772	23.09053	4.557899
2830	-1024.963	-1071.812	46.84976	25.31181	3.495496
2840	-1034.96	-1065.158	30.19818	21.17196	4.186353
2850	-1019.659	-1065.949	46.28976	27.56427	3.513825
2860	-1017.267	-1054.645	37.3773	23.07925	3.875325
2870	-1037.532	-1071.599	34.06758	21.65263	4.010845
2880	-1037.131	-1067.75	30.61973	25.43459	4.134219
2890	-1030.358	-1069.839	39.48135	27.27429	3.765324
2900	-1046.412	-1074.664	28.25227	21.42501	4.279162
2910	-1048.96	-1077.56	28.60081	20.80918	4.259021
2920	-1048.99	-1075.313	26.32335	19.39835	4.349667
2930	-1045.474	-1082.225	36.75019	23.53615	3.903649
2940	-1028.075	-1062.924	34.84936	22.84526	3.984453
2950	-1051.5	-1073.841	22.34112	19.78072	4.558759
2960	-1030.965	-1063.91	32.94453	21.53156	4.06142
2970	-1035.042	-1064.786	29.74443	20.15802	4.193345
2980	-1033.181	-1070.429	37.24855	22.6113	3.877484
2990	-1037.437	-1071.998	34.56138	23.00383	3.997295
3000	-1042.49	-1064.901	22.41106	22.94581	4.526755
3010	-1033.984	-1063.827	29.84265	21.93677	4.206548
3020	-1037.424	-1073.645	36.22154	25.05768	3.918063
3030	-1048.996	-1087	38.00344	20.27822	3.788457
3040	-1037.011	-1071.143	34.13144	24.78593	4.004865
3050	-1031.562	-1067.517	35.95535	24.63535	3.932537
3060	-1038.118	-1066.109	27.99106	19.94749	4.276559
3070	-1036.329	-1073.331	37.00171	25.83629	3.878647
3080	-1025.469	-1063.514	38.04541	22.25348	3.837709
3090	-1039.207	-1067.853	28.64614	18.39133	4.191325
3100	-1041.321	-1072.872	31.5504	23.12133	4.127564
3110	-1032.007	-1067.615	35.60814	26.0829	3.928841
3120	-1031.067	-1066.012	34.94477	21.96102	3.974236
3130	-1046.709	-1065.547	18.83779	28.43447	4.471645
3140	-1048.69	-1070.594	21.90427	17.99196	4.545153
3150	-1057.113	-1077.715	20.60249	20.40069	4.646102
3160	-1040.127	-1069.018	28.89134	21.95826	4.249884
3170	-1048.346	-1078.698	30.35224	26.31953	4.124701
3180	-1058.945	-1078.532	19.58706	22.02585	4.672189
3190	-1021.213	-1062.356	41.14263	20.40803	3.639595
3200	-1038.547	-1071.123	32.57665	25.06348	4.063432
3210	-1039.468	-1065.843	26.37498	19.29683	4.344551
3220	-1041.601	-1072.512	30.91093	24.12991	4.144818
3230	-1050.973	-1076.153	25.18032	18.91977	4.397093
3240	-1034.907	-1069.419	34.51246	20.02025	3.95219
3250	-1042.413	-1071.003	28.58973	22.86656	4.258255
3260	-1064.698	-1083.616	18.91812	21.48727	4.713686
3270	-1059.024	-1082.264	23.24033	19.07317	4.502901
