Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
331	1	-1032.598	-1073.064	40.46597	27.31368	3.728682
332	0	-1059.039	-1075.475	16.43561	17.50829	4.837611
333	1	-1031.923	-1069.637	37.7138	27.02659	3.834323
334	0	-1043.478	-1063.373	19.89412	18.2351	4.663522
335	1	-1023.184	-1068.265	45.0805	24.95962	3.564072
336	0	-1026.118	-1057.971	31.85277	22.47438	4.116197
337	1	-1029.833	-1068.643	38.80973	23.85604	3.817182
338	0	-1019.384	-1052.712	33.32814	23.28926	4.050167
339	1	-1033.864	-1066.239	32.37478	28.64256	3.989781
340	0	-1032.081	-1062.36	30.27805	24.73764	4.161197
341	1	-1031.873	-1064.64	32.76758	27.35069	4.009638
342	0	-1050.683	-1072.806	22.12311	22.35906	4.551296
343	1	-1013.678	-1056.033	42.3546	25.64339	3.672236
344	0	-1043.157	-1078.508	35.35106	28.08729	3.899037
345	1	-1018.545	-1057.695	39.15015	22.97463	3.797535
346	0	-1023.212	-1064.641	41.42817	25.59636	3.708588
347	1	-1010.548	-1055.511	44.96277	30.07863	3.529007
348	0	-1022.868	-1061.371	38.50312	24.77512	3.828537
349	1	-1023.481	-1068.431	44.95002	24.78353	3.56837
350	0	-1019.511	-1057.838	38.32668	24.23615	3.837376
351	1	-1042.513	-1063.657	21.1437	17.63491	4.574101
352	0	-1038.277	-1062.223	23.94531	23.33586	4.452067
353	1	-1040.882	-1065.758	24.87617	20.14688	4.434751
354	0	-1007.897	-1057.962	50.0653	29.36912	3.366515
355	1	-1023.359	-1058.594	35.23566	25.50294	3.951814
356	0	-1034.643	-1073.341	38.6983	23.88716	3.821907
357	1	-1032.396	-1066.833	34.43729	20.6691	3.975166
358	0	-1041.795	-1076.64	34.84505	26.50769	3.95058
359	1	-1027.723	-1059.396	31.6724	19.44551	4.075667
360	0	-1039.686	-1075.495	35.80877	24.05842	3.942185
361	1	-1035.022	-1070.131	35.10929	19.63522	3.907281
362	0	-1047.484	-1072.926	25.44193	21.12641	4.411055
363	1	-1046.203	-1076.54	30.33755	24.8695	4.156416
364	0	-1048.274	-1071.006	22.7322	23.61378	4.497321
365	1	-1045.075	-1069.974	24.89886	21.51289	4.4352
366	0	-1041.82	-1064.275	22.45538	19.7071	4.552385
367	1	-1023.952	-1062.38	38.42797	25.33865	3.828007
368	0	-1063.401	-1078.699	15.29733	21.38947	4.884745
369	1	-1032.203	-1072.565	40.36227	24.08784	3.75301
370	0	-1057.793	-1075.578	17.78465	22.44379	4.743009
371	1	-1032.975	-1067.504	34.52896	22.66093	3.997952
372	0	-1046.855	-1068.939	22.08349	20.4323	4.573471
373	1	-1027.672	-1060.248	32.5761	21.92811	4.081886
374	0	-1040.321	-1074.741	34.41978	24.98124	3.990925
375	1	-1031.825	-1064.379	32.55368	24.39126	4.073755
376	0	-1058.023	-1091.241	33.21743	24.36908	4.046786
377	1	-1033.768	-1066.17	32.40184	21.65596	4.087805
378	0	-1061.74	-1085.493	23.7531	24.48103	4.432125
379	1	-1026.745	-1068.944	42.19914	25.21441	3.679382
380	0	-1039.396	-1078.958	39.56233	24.19065	3.786356
381	1	-1042.738	-1073.957	31.21947	21.66134	4.142437
382	0	-1022.592	-1057.559	34.96703	26.30433	3.949631
383	1	-1055.354	-1078.415	23.06074	18.22452	4.4895
384	0	-1046.067	-1068.361	22.29392	20.83111	4.561995
385	1	-1037.456	-1063.608	26.15191	21.21278	4.377467
386	0	-1034.729	-1069.954	35.22477	24.84297	3.960176
387	1	-1037.242	-1077.146	39.90326	27.5835	3.745221
388	0	-1047.603	-1072.173	24.56964	23.77248	4.416
389	1	-1030.02	-1067.782	37.7617	28.32367	3.808419
390	0	-1057.852	-1075.291	17.4393	18.0408	4.794375
391	1	-1018.465	-1057.846	39.38147	22.10082	3.774934
392	0	-1031.935	-1070.592	38.6575	26.83422	3.802255
393	1	-1035.023	-1069.488	34.46466	21.57284	3.991413
394	0	-1025.948	-1056.534	30.586	24.55089	4.151887
395	1	-1041.727	-1060.126	18.399	20.32116	4.754856
396	0	-1033.447	-1067.19	33.74258	22.60037	4.03251
397	1	-1028.348	-1063.817	35.46937	22.53974	3.955724
398	0	-1027.81	-1068.4	40.58927	23.6997	3.741684
399	1	-1025.391	-1061.562	36.17119	23.09438	3.927633
400	0	-1043.506	-1080.36	36.8536	22.92144	3.897194
401	1	-1045.078	-1071.863	26.78496	20.69114	4.345551
402	0	-1052.384	-1082.574	30.18974	22.88533	4.188161
403	1	-1046.652	-1079.948	33.29544	22.19536	4.050861
404	0	-1051.467	-1077.218	25.75176	20.77197	4.395809
405	1	-1047.212	-1077.811	30.5982	21.99375	4.172219
406	0	-1025.882	-1062.991	37.10962	22.13786	3.878243
407	1	-1040.032	-1076.29	36.2585	21.98966	3.914805
408	0	-1040.593	-1076.012	35.41912	22.43718	3.957243
409	1	-1032.013	-1068.416	36.40327	22.28923	3.911893
410	0	-1040.357	-1073.97	33.61353	21.13783	4.024457
411	1	-1040.19	-1071.229	31.03906	21.90801	4.151913
412	0	-1028.826	-1070.648	41.82172	30.26457	3.629635
413	1	-1037.771	-1071.752	33.98043	22.96483	4.022553
414	0	-1040.541	-1071.85	31.30981	20.77282	4.128249
415	1	-1044.668	-1082.386	37.71712	25.93024	3.849858
416	0	-1055.646	-1079.765	24.1198	23.01233	4.45104
417	1	-1039.426	-1068.75	29.32331	18.87748	4.176426
418	0	-1025.154	-1056.291	31.13679	26.24029	4.096716
419	1	-1034.09	-1067.907	33.81758	21.14907	4.015002
420	0	-1033.044	-1071.751	38.70756	23.84827	3.82145
421	1	-1031.504	-1075.778	44.27373	25.56357	3.597425
422	0	-1065.567	-1085.66	20.09331	20.26352	4.671739
423	1	-1018.737	-1057.852	39.11457	24.83984	3.803613
424	0	-1024.717	-1058.904	34.18733	22.42045	4.012058
425	1	-1037.421	-1065.135	27.71429	23.82004	4.282906
426	0	-1044.515	-1070.342	25.8262	26.04328	4.305064
427	1	-1027.15	-1057.652	30.50226	21.48418	4.17455
428	0	-1032.987	-1064.286	31.29978	24.9449	4.116445
429	1	-1041.674	-1071.607	29.93333	21.71616	4.20199
430	0	-1017.242	-1059.007	41.76509	29.65086	3.643791
431	1	-1048.639	-1075.461	26.82174	20.76473	4.344255
432	0	-1032.663	-1070.619	37.95578	26.36934	3.835139
433	1	-1032.179	-1061.404	29.22482	24.91588	4.200219
434	0	-1012.776	-1059.828	47.05195	25.90319	3.489804
435	1	-1027.476	-1062.727	35.25109	30.18489	3.848952
436	0	-1034.222	-1068.244	34.02187	21.41505	4.009721
437	1	-1040.076	-1077.516	37.44006	21.16176	3.844043
438	0	-1046.327	-1081.819	35.49126	25.81651	3.937401
439	1	-1030.739	-1064.088	33.34883	22.78138	4.05013
440	0	-1049.113	-1077.169	28.05647	24.38742	4.258209
441	1	-1030.482	-1062.939	32.45764	21.04337	4.077704
442	0	-1042.049	-1069.844	27.795	21.03158	4.299214
443	1	-1029.904	-1060.093	30.1888	21.64104	4.189933
444	0	-1033.092	-1066.344	33.252	19.56967	3.99937
445	1	-1031.819	-1070.517	38.69759	25.74058	3.813943
446	0	-1038.989	-1071.911	32.92184	25.39347	4.044399
447	1	-1027.064	-1064.765	37.70141	21.42181	3.838056
